ZIP,Name,Specialty,Address,latitude,longitude
90003,"Dr. Zaw Lwin, MD",Pain Medicine,"5850 S Main St, Los Angeles, CA 90003",33.9883999,-118.273401
90003,"Dr. Daniel Raine, MD",Family Medicine,"5850 S Main St, Los Angeles, CA 90003",33.9883999,-118.273401
90006,"Dr. Alfred Lavi, MD",Family Medicine,"2324 W Pico Blvd, Los Angeles, CA 90006",34.0469572,-118.2872406
90006,Stephano Jung,Acupuncture,"1010 Fedora St Ste 101, Los Angeles, CA 90006",34.0523521,-118.2976833
90006,"Ik Sin, LAC",Acupuncture,"3030 W Olympic Blvd Ste 204, Los Angeles, CA 90006",34.0523629,-118.3014425
90006,"Chi Sohn, LAC",Acupuncture,"3030 W Olympic Blvd Ste 204, Los Angeles, CA 90006",34.0523629,-118.3014425
90006,"Kwang Suk, LAC",Acupuncture,"3030 W Olympic Blvd Ste 204, Los Angeles, CA 90006",34.0523629,-118.3014425
90006,"Madison Seungah, LAC",Acupuncture,"3053 W Olympic Blvd Ste 311, Los Angeles, CA 90006",34.0529566,-118.3016728
90006,"Dr. Chansu Park, PHD",Acupuncture,"3053 W Olympic Blvd Ste 311, Los Angeles, CA 90006",34.0529566,-118.3016728
90006,"Dr. Keyvan Amiri-Khorheh, MD",Family Medicine,"1830 W Olympic Blvd Ste 124, Los Angeles, CA 90006",34.0504556,-118.2775188
90007,"Melissa Rodriguez, NP",Nursing (Nurse Practitioner),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Richard Ward, NP",Nursing (Nurse Practitioner),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Kathleen Stephanie Besas, NP",Nursing (Nurse Practitioner),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Betty Bogar, NP",Nursing (Nurse Practitioner),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Jocelyne Mansilla, PA",Physician Assistant (PA),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Julie Jantz, NP",Nursing (Nurse Practitioner),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Rosa Gallardo, PA",Physician Assistant (PA),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Dr. Udoka Chukwuocha, DNP",Nursing (Nurse Practitioner),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Nina Shumiatcher, NP",Nursing (Nurse Practitioner),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"June Park, PA-C",Physician Assistant (PA),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Tracy Stockstill, NP",Nursing (Nurse Practitioner),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Dr. Julia Wang, MD",Emergency Medicine,"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Roshani Waas, NP",Nursing (Nurse Practitioner),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90007,"Ashley McIlhenny, NP",Nursing (Nurse Practitioner),"400 W 30th St, Los Angeles, CA 90007",34.02368209999999,-118.2757762
90008,"Dr. Joseph Huang, MD",Family Medicine,"3782 W Martin Luther King Jr Blvd, Los Angeles, CA 90008",34.0117972,-118.3406353
90010,"Dr. David Parham III, MD",Pediatric Pathology,"3701 Wilshire Blvd Ste 600, Los Angeles, CA 90010",34.0623185,-118.3068702
90010,"Dr. Kyoung Kim, MD",Internal Medicine,"4160 Wilshire Blvd Ste 301, Los Angeles, CA 90010",34.0614254,-118.3183898
90013,"Dr. John Foster, MD",Occupational Medicine,"420 E 3rd St Ste 600, Los Angeles, CA 90013",34.0463707,-118.2421054
90013,"Dr. Alomi Parikh, MD",Ophthalmology,"500 Molino St Ste 107, Los Angeles, CA 90013",34.0412037,-118.2334904
90014,"Dr. Kendra Gorlitsky, MD",Family Medicine,"325 E 7th St, Los Angeles, CA 90014",34.04215,-118.24855
90014,"Monique Little, MA",Counseling,"617 S Olive St Ste 906, Los Angeles, CA 90014",34.0478472,-118.2548779
90015,"Dr. Elaheh Farhadian, MD",Internal Medicine,"1401 S Grand Ave Fl 3RDFL 3, Los Angeles, CA 90015",34.0373967,-118.2657271
90015,"Dr. Cristina Acosta, MD",Family Medicine,"1401 S Grand Ave, Los Angeles, CA 90015",34.0373967,-118.2657271
90015,"Dr. Catherine Khoo, MD",Family Medicine,"1401 S Grand Ave, Los Angeles, CA 90015",34.0373967,-118.2657271
90015,"Dr. Mehran Taban, MD",Ophthalmology,"1401 S Grand Ave, Los Angeles, CA 90015",34.0373967,-118.2657271
90015,"Dr. Sandra Avila, MD",Family Medicine,"1401 S Grand Ave, Los Angeles, CA 90015",34.0373967,-118.2657271
90015,"Dr. Melvin De La Cruz, MD",Internal Medicine,"1401 S Grand Ave, Los Angeles, CA 90015",34.0373967,-118.2657271
90015,"Dr. Michelle Crespo, MD",Family Medicine,"1401 S Grand Ave, Los Angeles, CA 90015",34.0373967,-118.2657271
90015,"Dr. Brianna De Souza, MD",Dermatology,"1400 S Grand Ave Ste 101, Los Angeles, CA 90015",34.0367467,-118.265222
90015,"Dr. Kendra Gorlitsky, MD",Family Medicine,"1400 S Grand Ave Ste 101, Los Angeles, CA 90015",34.0367467,-118.265222
90015,"Dr. Thinzar Htut, MD",Geriatric Medicine,"1400 S Grand Ave Ste 101, Los Angeles, CA 90015",34.0367467,-118.265222
90015,"Dr. Kami Adibi, MD",Family Medicine,"1400 S Grand Ave Ste 101, Los Angeles, CA 90015",34.0367467,-118.265222
90015,"Dr. Sarah Razeggi, MD",Pediatrics,"1400 S Grand Ave Ste 101, Los Angeles, CA 90015",34.0367467,-118.265222
90015,"Dr. Arnel Balbuena, MD",Family Medicine,"1400 S Grand Ave Ste 101, Los Angeles, CA 90015",34.0367467,-118.265222
90015,"Dr. Anna Pham, DO",Family Medicine,"1400 S Grand Ave Ste 101, Los Angeles, CA 90015",34.0367467,-118.265222
90015,"Dr. Ronald Espinosa, MD",Critical Care Medicine,"1400 S Grand Ave Ste 101, Los Angeles, CA 90015",34.0367467,-118.265222
90015,"Dr. Tracey Norton, DO",Pediatric Medicine,"1400 S Grand Ave Ste 101, Los Angeles, CA 90015",34.0367467,-118.265222
90015,Julissa Morales,Social Work,"1400 S Grand Ave Ste 101, Los Angeles, CA 90015",34.0367467,-118.265222
90015,"Dr. Ketia Brown, MD",Family Medicine,"1400 S Grand Ave Ste 703, Los Angeles, CA 90015",34.0368368,-118.2652339
90017,"Dr. Chen Xie, MD",Rheumatology,"700 W 7th St, Los Angeles, CA 90017",34.0481945,-118.2583142
90017,Jessica Nolasco,Counseling,"1200 Wilshire Blvd Ste 300, Los Angeles, CA 90017",34.052953,-118.265186
